Year,Title,Link
2020,"IMFC Statement by Wopke Hoekstra, Minister of Finance, Kingdom of the Netherlands—The Netherlands",https://meetings.imf.org/-/media/AMSM/Files/AM2020/IMFC/nld.pdf
2020,"IMFC Statement by Mukhisa Kituyi, Secretary-General, UNCTAD",https://meetings.imf.org/-/media/AMSM/Files/AM2020/IMFC/UNCTAD.pdf
2020,"IMFC Statement by Christine Lagarde, President, European Central Bank",https://meetings.imf.org/-/media/AMSM/Files/AM2020/IMFC/ECB.pdf
2020,"IMFC Statement by Bruno Le Maire, Minister of the Economy, Finance and the Recovery, France",https://meetings.imf.org/-/media/AMSM/Files/AM2020/IMFC/fra.pdf
2020,"IMFC Statement by Ueli Maurer, Minister of Finance, Switzerland",https://meetings.imf.org/-/media/AMSM/Files/AM2020/IMFC/che.pdf
2020,"IMFC Statement by T.T. Mboweni, Minister of Finance, South Africa",https://meetings.imf.org/-/media/AMSM/Files/AM2020/IMFC/zaf.pdf
2020,"IMFC Statement by Steven Mnuchin, Secretary of the Treasury, United States",https://meetings.imf.org/-/media/AMSM/Files/AM2020/IMFC/usa.pdf
2020,"IMFC Statement by Calixte Nganongo, Minister of Finance and Budget, Republic of Congo",https://www.imf.org/~/media/AMSM/Files/SM2020/IMFC/cog.pdf?la=en
2020,français,https://meetings.imf.orghttps://www.imf.org/~/media/AMSM/Files/AM2020/IMFC/cogf.pdf?la=en
2020,"IMFC Statement by Guy Ryder, Director-General, International Labour Organization",https://meetings.imf.org/-/media/AMSM/Files/AM2020/IMFC/ILO.pdf
2020,"IMFC Statement by Jan Tore Sanner, Minister of Finance, Norway",https://meetings.imf.org/-/media/AMSM/Files/AM2020/IMFC/nor.pdf
2020,"IMFC Statement by Nadia Calviño Santamaría, Vice president and Minister for Economy, Spain",https://meetings.imf.org/-/media/AMSM/Files/AM2020/IMFC/esp.pdf
2020,"IMFC Statement by Olaf Scholz (Germany), Chairman of the EU Council of Economic and Finance Ministers",https://meetings.imf.org/-/media/AMSM/Files/AM2020/IMFC/deu.pdf
2020,"IMFC Statement by Anton Siluanov, Minister of Finance, Russian Federation",https://meetings.imf.org/-/media/AMSM/Files/AM2020/IMFC/rus.pdf
2020,"IMFC Statement by Nirmala Sitharaman, Minister of Finance and Corporate Affairs, India",https://meetings.imf.org/-/media/AMSM/Files/AM2020/IMFC/ind.pdf
2020,"IMFC Statement by Achim Steiner, Administrator, United Nations Development Programme, United Nations",https://meetings.imf.org/-/media/AMSM/Files/AM2020/IMFC/UN.pdf
2020,"IMFC Statement by Rishi Sunak, Chancellor of the Exchequer, H.M. Treasury, United Kingdom",https://meetings.imf.org/-/media/AMSM/Files/AM2020/IMFC/gbr.pdf
2020,"IMFC Statement by Sethaput Suthiwart-Narueput, Governor, Bank of Thailand, Thailand",https://meetings.imf.org/-/media/AMSM/Files/AM2020/IMFC/tha.pdf
2019,"IMFC Statement by Zainab Ahmed, Minister of Finance, Nigeria",https://meetings.imf.org/-/media/AMSM/Files/AM2019/IMFC/NGA.pdf
2019,"IMFC Statement by Obaid Humaid Al Tayer, Minister of State for Financial Affairs, United Arab Emirates",https://meetings.imf.org/-/media/AMSM/Files/AM2019/IMFC/ARE.pdf
2019,"IMFC Statement by Berat Albayrak, Minister of Treasury and Finance, Turkey",https://meetings.imf.org/-/media/AMSM/Files/AM2019/IMFC/TUR.pdf
2019,"IMFC Statement by Mohammed Aljadaan, Minister of Finance, Saudi Arabia",https://meetings.imf.org/-/media/AMSM/Files/AM2019/IMFC/sau.pdf
2019,"IMFC Statement by Taro Aso, Deputy Primer Minister, Japan",https://meetings.imf.org/-/media/AMSM/Files/AM2019/IMFC/JPN.pdf
2019,"IMFC Statement by Roberto Azevêdo, Director-General, WTO",https://meetings.imf.org/-/media/AMSM/Files/AM2019/IMFC/wto.pdf
2019,"IMFC Statement by H.E. Mohammad Sanusi Barkindo, Secretary General, OPEC",https://meetings.imf.org/-/media/AMSM/Files/AM2019/IMFC/opec.pdf
2019,"IMFC Statement by Roberto Campos Neto, Central Bank Governor, Brazil",https://meetings.imf.org/-/media/AMSM/Files/AM2019/IMFC/BRA.pdf
2019,"IMFC Statement by Alexander de Croo, Deputy Prime Minister and Minister of Finance, Belgium",https://meetings.imf.org/-/media/AMSM/Files/AM2019/IMFC/bel.pdf
2019,"IMFC Statement by Mario Draghi, President, European Central Bank",https://meetings.imf.org/-/media/AMSM/Files/AM2019/IMFC/ECB.pdf
2019,"IMFC Statement by Hon. Josh Frydenberg MP, Treasurer, Australia",https://meetings.imf.org/-/media/AMSM/Files/AM2019/IMFC/AUS.pdf
2019,"IMFC Statement by Roberto Gualtieri, Minister of the Economy and Finance, Italy",https://meetings.imf.org/-/media/AMSM/Files/AM2019/IMFC/ita.pdf
2019,"IMFC Statement by Angel Gurría, Secretary-General, OECD",https://meetings.imf.org/-/media/AMSM/Files/AM2019/IMFC/OECD.pdf
2019,"IMFC Statement by Ammar Hiouani, Governor, Bank of Algeria, Algeria",https://meetings.imf.org/-/media/AMSM/Files/AM2019/IMFC/dza.pdf
2019,"IMFC Statement by Sajid Javid Chancellor of the Exchequer, H.M. Treasury, United Kingdom",https://meetings.imf.org/-/media/AMSM/Files/AM2019/IMFC/GBR.pdf
2019,"IMFC Statement by Mukhisa Kituyi, Secretary-General, UNCTAD",https://meetings.imf.org/-/media/AMSM/Files/AM2019/IMFC/UNCTAD.pdf
2019,"IMFC Statement by Hernan Lacunza, Minister of the Treasury, Argentina",https://meetings.imf.org/-/media/AMSM/Files/AM2019/IMFC/arg.pdf
2019,"IMFC Statement by Mika Lintilä, Chairman, EU Council of Economic and Finance Ministers",https://meetings.imf.org/-/media/AMSM/Files/AM2019/IMFC/ECOFIN.pdf
2019,"IMFC Statement by Mika Lintilä, Minister of Finance, Finland",https://meetings.imf.org/-/media/AMSM/Files/AM2019/IMFC/fin.pdf
2019,"IMFC Statement by Ueli Maurer, Minister of Finance of Switzerland, Switzerland",https://meetings.imf.org/-/media/AMSM/Files/AM2019/IMFC/che.pdf
